Country;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023
Afghanistan;;;;;;;;;;;;;;;;;;;;;;;;;2.20;;;16.00;39.00;40.00;46.00;48.00;54.00;56.00;60.00;60.00;51.40;51.00;60.00;52.00;53.92;54.61;60.00;60.11
Albania;;;;;;;;;;;;;;;;;;;;;;90.00;93.00;93.20;95.70;96.60;93.90;95.40;97.70;98.10;98.50;99.00;98.60;98.70;97.80;97.80;97.70;97.90;96.30;96.20;94.07;;;93.00
Algeria;;;;;;;;;;;;;;;;;;;;83.00;;;93.00;96.00;94.00;94.00;98.00;95.00;96.00;98.00;95.00;96.00;;93.00;100.00;100.00;98.00;98.00;77.00;;;;;
Andorra;;;;;;;;;;;;;;;;;;;;;;;;;;;;80.13;86.00;82.30;85.55;82.40;88.71;91.10;90.32;88.08;90.27;93.52;95.01;96.90;93.33;96.80;95.98;96.00
Angola;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;26.00;26.00;30.00;35.00;51.80;47.73;40.01;45.13;54.77
Anguilla;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;69.00;73.00;68.00;66.00;65.40;67.18;71.33
Antigua and Barbuda;;;;;;;;;;;;;;;;;;;;;;;;;;46.25;67.50;78.32;83.30;94.00;;89.00;90.00;87.30;100.48;;68.24;95.00;95.00;71.00;;75.89;100.00;87.00
Argentina;;;;;;;;;;;;;;;;;;;;;56.00;56.00;83.00;80.00;93.00;88.00;91.00;84.00;88.00;96.42;94.00;90.70;89.00;83.40;96.00;87.00;88.08;91.00;101.00;84.00;71.40;79.20;94.19;54.23
Armenia;;;;;;;;;;;;;;;;;;;;92.30;93.50;96.30;61.80;93.20;94.40;92.30;85.00;;94.00;96.00;97.00;98.00;97.40;97.04;96.80;97.14;96.99;97.00;96.00;96.00;94.44;93.76;94.17;95.99
Aruba;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;89.00;83.00;85.00;;76.45;83.02;81.13
Australia;;;;;;;;;;;;;;;;;;;;;;;84.00;94.00;;;;87.30;79.80;83.10;88.42;89.84;91.20;92.24;92.55;93.00;94.00;93.45;93.47;93.59;94.18;93.89;91.37;92.65
Austria;;;;;;;;;;;;;;;;;;;;;;33.90;38.70;45.53;47.40;91.00;61.00;56.00;62.00;64.00;;;;;87.00;;89.00;83.90;83.80;89.00;88.04;97.15;93.70;81.00
Azerbaijan;;;;;;;;;;;;;;;;;;;;;;96.20;97.98;96.80;97.80;97.60;94.80;97.40;97.00;96.30;97.50;97.50;97.50;98.40;98.00;97.90;97.70;97.00;96.00;96.60;78.92;89.93;90.70;93.23
Bahamas;;;;;;;;;;;;;;;;;;;;;;;;;95.00;88.00;88.00;;;76.24;46.60;78.83;73.00;68.90;72.00;76.00;74.41;76.00;69.00;83.00;82.81;79.86;65.24;52.73
Bahrain;;;;;;;;;;;;;;;;;;;;98.00;92.40;99.00;97.00;99.50;100.00;99.12;99.00;100.00;97.00;100.00;98.20;96.00;99.74;99.60;100.00;100.00;100.00;99.52;99.50;100.00;100.00;98.81;100.00;100.00
Bangladesh;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;22.00;;70.40;70.40;80.50;83.00;83.00;89.00;89.00;89.00;;89.10
Barbados;;;;;;;;;;;;;;;;;;;;;;12.40;;;100.00;98.00;93.70;75.38;97.35;97.40;96.04;93.60;90.00;;91.00;88.97;86.58;77.00;74.00;85.00;78.37;69.92;73.44;75.74
Belarus;;;;;;;;;;;;;;;;;;;;;91.60;;;98.30;98.50;98.40;95.00;99.00;99.00;99.00;99.10;99.00;97.40;99.00;97.50;99.10;97.50;97.70;98.40;98.10;98.08;97.67;98.09;94.86
Belgium;;;;;;;;;;;;;;;;;;;;;;;;;;;78.00;77.60;81.39;83.00;83.00;83.00;80.50;80.50;80.50;80.50;82.00;82.00;82.00;82.10;83.00;83.00;83.00;82.20
Belize;;;;;;;;;;;;;;;;;;;;;;;;;;87.32;91.75;89.00;90.00;92.00;91.00;98.00;93.00;92.00;92.00;94.97;96.27;88.00;91.00;95.00;87.00;76.50;76.50;87.85
Benin;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bermuda;;;;;;;;;;;;;;;;;;;;;;;;;50.00;;;;;;;;;;;;;65.00;70.00;102.00;73.93;65.31;57.66;74.86
Bhutan;;;;;;;;;;;;;;;;;;;;;;;;;;;;;72.00;90.00;;95.00;90.00;;;;90.00;;91.00;92.00;99.59;91.36;96.69;103.21
Bolivia (Plurinational State of);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;47.67;;38.00;44.00;46.39;56.09;48.78;50.29
Bosnia and Herzegovina;;;;;;;;;;;;;;;;;;;;75.00;73.90;85.70;89.90;;88.00;90.00;61.00;95.00;91.90;;91.20;;94.00;;91.50;;;;68.40;69.00;;63.30;60.29;62.80
Botswana;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;82.00;85.00;70.20;74.00;96.00;;;;;;
Brazil;;;;;;;;;;;;;;;;;;;;;95.00;95.00;79.86;;;;;49.00;55.95;55.28;53.48;71.00;70.00;69.00;89.00;79.94;76.71;67.00;76.00;54.00;43.69;46.43;57.57;63.54
British Virgin Islands;;;;;;;;;;;;;;;;;;;;;101.94;;;;;;;;;;;;;;;;;76.00;83.00;78.00;97.41;69.94;77.81;72.50
Brunei Darussalam;;;;;;;;;;;;;;;;;;;;93.60;;;;;96.60;;;;;;;;;92.00;;97.00;97.00;98.00;98.00;98.00;96.94;98.57;98.51;98.67
Bulgaria;;;;;;;;;;;;;;;;;;;;;82.70;85.15;79.20;89.40;90.80;92.40;93.30;94.00;94.30;92.80;95.70;94.00;94.00;93.50;88.60;86.90;88.30;91.60;87.40;95.10;84.50;85.79;87.23;87.40
Burkina Faso;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;50.00;50.00;50.00;50.00;71.00;71.00;71.00;85.00;83.77
Burundi;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;51.00;60.00;65.00;72.00;75.00;77.00;80.00;83.00;85.00;85.00;80.00
Cabo Verde;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;99.00;93.50;88.87;79.41;95.02;91.50;85.00;87.66;91.00;;98.00;114.12;
Cambodia;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;81.80;63.47;73.00;72.00;105.01;;;;90.55;;;
Cameroon;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;22.00;28.00;36.00;45.00
Canada;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;83.00;86.00;86.00;86.00;86.00;87.00;86.98;87.00;83.00;83.00;79.00;79.00
Cayman Islands;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;94.00;70.00;;62.45;68.45;71.22;86.28
Central African Republic;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
