Country;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023
Afghanistan;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;0;0;;0.8;;;;;;;
Albania;;;;;;;;;;;;;;;;;;;;315.5;521.5;449.2;996.8;717.1;289.2;551.3;77.4;272.6;16.7;7.4;7.2;13.4;6.2;6.9;;;5.9;2.1;4.5;1.7;1;0.4;0.4;1.8
Algeria;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;0;0;0;0.7;;1.7;0;0;;;;;;0
American Samoa;;;;;;;;;;;;;;;;;;;;0;0;0;;;0;0;;17.8;;;;0;;;;;;;;;;;;
Andorra;;;;;;;;;;;;;;;;;;;;;;60.7;;14.4;26.9;12.9;37.7;48.9;0;0;0;0;13;26.6;40.7;41.6;97;67.8;412.4;261.5;1615.4;0;0;0
Angola;;;;;;;;;;;;;;;;;;;;;;;0;;1.2;;;;;0;0;;;;;;;;;;;;;
Anguilla;;;;;;;;;;;;;;;;;;;;;;0;;0;;;;;;;;;;;;;;0;;0;0;0;0;0
Antigua and Barbuda;;;;;;;;;;;;;;;;;;;;;;0;0;;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Argentina;;;;;;;;;;;;;;;;;;;;653;;477.6;;;295.8;273.5;289.3;289.3;301.8;144.7;123.1;131.3;109.6;88.6;2;3.6;1.7;99.3;172.8;206.3;83.6;66.2;134.7;
Armenia;;;;;;;;;;;;;;;;;;;;3593;1097.7;320;575.7;;166.7;55.5;42.8;44.7;33.1;24.1;13;5.1;2.1;0.7;0.7;1.4;0.3;2.7;1.4;0.3;0.7;0;0;1.7
Aruba;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;9.5;47;9.3;;0;18.6;0
