Country;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023
afghanistan;11.0;6.0;8.0;;13.0;14.0;14.0;31.0;34.0;22.0;20.0;19.0;;25.0;40.0;;42.0;38.0;31.0;31.0;27.0;37.0;35.0;39.0;48.0;50.0;53.0;55.0;59.0;60.0;62.0;75.0;81.0;82.0;88.0;90.0;74.5;78.0;82.0;75.0;76.71;74.27;79.39;77.58
albania;;90.0;;96.0;96.0;96.0;96.0;96.0;96.0;96.0;;80.0;87.0;76.0;90.0;91.0;92.0;95.0;89.0;85.0;95.0;95.0;96.0;93.2;96.2;97.0;95.0;97.0;98.0;98.1;98.9;99.0;98.6;98.7;97.8;97.8;97.7;97.9;96.3;96.2;94.07;;;93.0
algeria;;17.0;;;;;;59.0;;73.0;53.0;74.0;68.0;69.0;69.0;77.0;75.0;74.0;75.0;83.0;80.0;83.0;93.0;96.0;94.0;94.0;98.0;95.0;96.0;98.0;95.0;96.0;95.0;95.0;100.0;100.0;98.0;98.0;80.0;;;;;
andorra;;;;;;;;;;;;;;;;;;90.0;90.0;97.0;97.0;97.0;98.0;96.0;97.6;94.0;91.0;94.0;98.0;97.98;98.87;99.43;97.81;95.44;95.72;95.94;97.18;98.99;99.22;99.07;98.33;98.95;97.58;99.0
angola;;;;26.0;;83.0;60.0;55.0;56.0;43.0;38.0;39.0;21.0;47.0;44.0;65.0;41.0;78.0;80.0;46.0;;72.0;72.0;62.0;64.0;45.0;48.0;88.0;79.0;77.0;93.0;88.44;97.0;91.0;85.0;80.0;74.0;71.0;79.0;79.8;72.94;64.83;65.87;78.67
anguilla;;;72.0;70.0;72.0;81.0;65.0;81.0;98.0;92.0;99.0;99.0;99.0;99.0;99.0;92.0;99.0;92.0;96.0;99.0;99.0;92.0;;99.0;;92.0;;;;;;;;;;;;79.0;81.0;88.0;80.0;82.0;85.5;71.33
antigua and barbuda;;;;48.0;73.0;69.0;80.0;89.0;95.0;95.0;89.0;87.0;99.0;99.0;91.0;93.0;99.0;93.0;100.0;99.0;95.0;96.6;127.0;100.0;97.0;100.0;100.0;99.0;106.0;99.4;98.2;99.8;97.9;103.0;102.0;101.94;87.88;100.0;96.0;97.0;;84.8;100.0;94.0
argentina;61.0;77.0;67.0;67.0;79.0;54.0;87.0;80.0;87.0;89.0;93.0;109.0;92.0;95.0;96.0;99.0;103.0;93.0;111.0;97.0;91.0;89.0;95.0;96.8;99.1;110.0;97.2;93.6;96.4;103.0;104.9;95.4;94.1;93.6;96.0;89.0;90.23;91.0;101.0;86.0;77.3;86.43;94.19;79.51
armenia;;;;;;;;;;;;;93.0;95.0;95.0;96.0;89.0;92.0;94.0;92.3;93.5;96.3;61.8;93.8;94.4;94.0;92.0;92.0;94.0;96.0;97.0;98.0;97.4;97.18;96.91;97.14;97.03;97.0;96.0;96.0;94.44;94.21;94.65;95.99
aruba;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;97.0;97.0;95.0;;93.86;91.59;93.2
australia;;;;68.0;;68.0;;68.0;;85.0;86.0;;;86.0;86.0;87.0;87.0;87.0;82.0;88.0;91.0;92.0;93.0;94.0;93.0;94.0;94.0;94.0;94.0;93.7;93.94;94.0;94.0;93.72;94.0;95.0;94.0;93.45;93.47;93.59;94.18;93.89;96.01;92.65
austria;;25.0;25.0;25.0;30.0;40.0;60.0;60.0;60.0;60.0;60.0;60.0;60.0;60.0;60.0;60.0;87.0;90.0;;65.0;75.0;79.0;78.0;79.0;74.0;91.0;80.0;79.0;83.0;76.0;;;;;96.0;;95.0;96.0;93.5;95.0;95.0;99.57;95.0;90.0
azerbaijan;;;;;;;;;;;;94.0;83.0;80.0;91.0;95.0;96.0;97.0;98.0;99.0;98.0;99.0;97.98;98.0;98.4;98.0;96.0;97.4;97.0;98.3;97.9;97.8;97.5;98.4;98.1;98.1;97.7;97.6;96.0;97.5;82.26;93.15;92.5;96.23
bahamas;;;65.0;66.0;63.0;79.0;93.0;87.0;78.0;87.0;99.0;99.0;94.0;88.0;88.0;90.0;92.0;93.0;92.0;86.0;92.93;94.0;94.0;90.0;95.0;88.0;88.0;96.0;90.0;97.5;93.6;90.4;91.2;91.5;92.0;94.0;88.6;90.0;89.0;83.0;86.71;82.4;80.43;86.34
bahrain;63.0;43.0;37.0;59.0;65.0;54.0;60.0;73.0;78.0;85.0;87.0;88.0;87.0;90.0;93.0;95.0;95.0;94.0;100.0;98.0;98.4;99.0;99.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;99.89;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0
bangladesh;;;1.0;1.0;1.0;1.0;3.0;6.0;13.0;53.0;82.0;83.0;92.0;87.0;95.0;96.0;96.0;97.0;72.0;61.0;61.0;64.0;65.0;69.0;96.0;78.0;84.0;85.0;85.0;87.8;89.0;86.0;89.0;88.7;90.1;90.1;91.7;92.0;92.0;92.8;92.8;92.8;;89.1
barbados;41.0;;53.0;55.0;84.0;88.0;84.0;85.0;84.0;85.0;87.0;92.0;90.0;92.0;97.0;92.0;100.0;92.0;97.0;86.0;94.0;93.0;91.0;90.0;100.0;98.0;93.7;75.38;97.35;97.4;96.04;93.6;90.0;;95.0;96.22;91.95;92.0;85.0;101.0;89.38;76.55;85.06;89.47
belarus;;55.0;56.0;57.0;55.0;56.0;57.0;61.0;96.0;97.0;96.0;95.0;94.0;96.0;97.0;93.0;96.0;97.0;98.0;98.0;98.2;;;98.8;99.0;99.0;97.0;99.0;99.0;99.0;99.1;99.0;98.0;99.0;99.0;99.1;98.2;97.7;98.4;98.2;98.08;97.67;98.27;97.05
belgium;;50.0;;;;;90.0;50.0;75.0;75.0;85.0;67.0;87.0;70.0;78.0;85.0;73.0;76.0;80.0;82.0;82.0;82.0;82.0;82.0;82.2;88.0;92.0;92.0;93.38;95.0;95.0;95.0;95.6;96.0;95.56;95.94;95.7;95.7;95.7;96.1;96.1;96.0;96.1;96.1
belize;21.0;40.0;51.0;43.0;43.0;49.0;85.0;53.0;59.0;71.0;86.0;76.0;69.0;80.0;82.0;83.0;81.0;85.0;84.0;82.0;96.0;94.0;88.0;96.0;97.0;95.0;100.0;96.0;96.0;97.0;98.0;98.0;96.0;99.0;95.0;96.41;96.27;90.0;97.0;96.0;87.0;79.44;80.8;92.97
benin;;;;;;23.0;20.0;26.0;30.0;48.0;73.0;60.0;72.0;69.0;78.0;82.0;74.0;82.0;82.0;91.6;85.0;;88.0;83.0;85.0;85.0;89.0;93.0;89.0;95.0;92.0;95.0;72.0;87.0;87.0;85.0;63.0;74.0;74.0;79.0;67.0;78.0;78.0;78.0
bermuda;;;60.0;48.0;42.0;52.0;77.0;83.0;86.0;67.0;63.0;83.0;71.0;74.0;93.0;86.0;85.0;88.0;;;;;;77.0;98.0;;;89.0;;;;;;;;;;87.0;87.0;108.0;98.86;91.67;85.22;95.31
bhutan;21.0;21.0;20.0;21.0;36.0;43.0;41.0;52.0;64.0;60.0;79.0;89.0;60.0;61.0;81.0;85.0;85.0;84.0;71.0;77.0;;78.0;78.0;;87.0;93.0;90.0;95.0;99.0;98.0;95.0;95.0;95.0;94.0;97.2;97.0;97.0;97.0;97.0;97.0;99.59;96.9;97.07;103.21
bolivia (plurinational state of);13.0;17.0;15.0;13.0;20.0;17.0;17.0;33.0;44.0;47.0;53.0;73.0;80.0;81.0;89.0;83.0;86.0;99.0;77.0;99.0;100.0;106.9;100.0;100.0;90.0;89.0;88.0;83.0;86.7;86.2;79.4;83.8;84.4;82.8;86.0;94.92;93.52;83.0;89.0;79.0;74.42;74.75;68.8;68.12
bosnia and herzegovina;;;;;;;;;;;;;52.0;48.0;57.0;53.4;;86.0;84.0;83.0;80.4;91.9;89.9;;88.0;90.0;90.0;96.0;91.9;;92.2;;94.0;;91.5;;;;68.4;79.0;;63.3;60.29;62.8
botswana;;;;;;68.0;64.0;48.0;51.0;55.0;55.0;52.0;58.0;59.0;;72.0;82.0;79.0;80.0;74.0;84.0;77.0;79.0;90.0;86.0;113.0;121.0;79.0;95.0;93.0;94.0;103.0;108.0;93.0;93.0;76.5;90.0;96.0;93.0;93.0;;;;
brazil;57.0;73.0;66.0;68.0;73.0;67.0;67.0;64.0;62.0;60.0;78.0;85.0;91.0;85.0;77.0;87.0;80.0;100.0;95.0;99.0;100.0;100.0;96.0;119.0;111.0;107.0;105.0;107.0;100.0;104.0;100.0;102.0;99.0;107.0;112.0;96.07;95.41;87.0;92.0;91.0;79.45;73.46;80.66;86.76
british virgin islands;;;86.0;83.0;89.0;40.0;82.0;80.0;62.0;99.0;99.0;84.0;83.0;99.0;99.0;99.0;99.0;99.0;99.0;92.0;101.94;110.29;;129.0;;;;;;;;;;;;;;87.0;94.0;84.0;98.85;82.74;77.81;86.25
brunei darussalam;73.0;;;94.0;90.0;98.0;100.0;100.0;100.0;;;;92.0;100.0;;;;98.0;100.0;94.4;99.0;104.0;;98.0;99.0;98.0;97.0;97.0;100.0;;94.0;;;96.0;;97.0;98.0;98.0;99.0;98.0;99.0;99.43;98.51;98.67
bulgaria;98.0;98.0;90.0;98.0;98.0;99.0;100.0;100.0;100.0;99.0;100.0;98.0;92.0;88.0;93.0;94.0;95.0;93.0;95.0;96.0;88.6;89.98;92.0;95.5;94.0;96.0;96.0;96.0;96.0;96.1;96.5;94.0;94.0;95.1;93.2;91.5;92.1;93.8;92.9;95.1;88.3;89.48;91.2;91.6
